BRAND,MODEL,VEHICLE CLASS,ENGINE SIZE L,CYLINDERS,TRANSMISSION,FUEL_TYPE,FUEL CONSUMPTION (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),CO2_Emissions(g/km)
CHEVROLET,TRAX 4WD,SUV - SMALL,1.4,4.0,AS6,X,9.7,7.6,8.7,32,205
JEEP,CHEROKEE,SUV - SMALL,3.2,6.0,A9,X,11.4,8.1,9.9,29,233
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6.0,A6,X,14.9,10.1,12.8,22,300
FIAT,500L,STATION WAGON - SMALL,1.4,4.0,AM6,X,9.9,7.2,8.7,32,203
ASTON MARTIN,DB9 GT,MINICOMPACT,5.9,12.0,A6,Z,18.0,12.6,15.6,18,365
MINI,COOPER CLUBMAN,MID-SIZE,1.5,3.0,M6,Z,9.5,6.6,8.2,34,194
AUDI,A6 QUATTRO,MID-SIZE,3.0,6.0,AS8,Z,11.6,7.9,9.9,29,232
PORSCHE,PANAMERA TURBO S EXECUTIVE,FULL-SIZE,4.8,8.0,AM7,Z,15.4,9.8,12.9,22,303
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4.0,AS6,Z,10.1,7.7,9.0,31,212
KIA,FORTE KOUP,COMPACT,1.6,4.0,M6,X,10.8,8.1,9.6,29,222
DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8.0,A8,X,16.7,10.7,14.0,20,329
PORSCHE,PANAMERA S,FULL-SIZE,3.0,6.0,AM7,Z,13.4,8.8,11.4,25,267
ACURA,TLX SH-AWD,COMPACT,3.5,6.0,AS9,,11.2,7.5,9.6,29,226
HONDA,HR-V AWD,SUV - SMALL,1.8,4.0,AV7,X,8.8,7.2,8.1,35,190
CHEVROLET,CAMARO,COMPACT,3.6,6.0,AS8,X,12.3,8.5,10.6,27,248
VOLVO,XC60 T6 AWD,SUV - SMALL,2.0,4.0,AS8,Z,11.8,9.1,10.6,27,247
FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6.0,AS6,,15.6,11.7,13.8,20,324
KIA,SORENTO AWD,SUV - SMALL,3.3,6.0,AS6,X,13.4,9.4,11.6,24,275
PORSCHE,PANAMERA TURBO S,FULL-SIZE,4.8,8.0,AM7,Z,15.3,9.7,12.8,22,300
MERCEDES-BENZ,AMG GL 63 S,SUV - STANDARD,5.5,8.0,AS7,,18.2,14.0,16.3,17,369
VOLKSWAGEN,BEETLE,COMPACT,1.8,4.0,M5,X,9.5,6.9,8.4,34,196
HONDA,FIT,STATION WAGON - SMALL,1.5,4.0,AV,X,7.0,5.7,6.4,44,150
BMW,M3,COMPACT,3.0,6.0,M6,Z,13.7,9.0,11.6,24,271
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6.0,AS6,E,19.7,14.1,17.2,16,282
AUDI,A8L QUATTRO,FULL-SIZE,6.3,12.0,AS8,Z,17.8,10.8,14.6,19,344
TOYOTA,RAV4 LIMITED/SE AWD,SUV - SMALL,2.5,4.0,AS6,X,10.6,8.1,9.4,30,220
VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4.0,M6,X,9.5,6.4,8.1,35,189
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4.0,AS6,X,9.6,6.5,8.2,34,193
BMW,228i,SUBCOMPACT,2.0,4.0,M6,Z,10.7,7.0,9.0,31,211
BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6.0,M6,Z,14.1,9.0,11.8,24,278
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4.0,AM6,X,8.9,7.1,8.1,35,191
ACURA,RLX,MID-SIZE,3.5,6.0,AS6,Z,11.9,7.7,10.0,28,235
PORSCHE,CAYENNE,SUV - STANDARD,3.6,6.0,A8,Z,13.5,9.7,11.8,24,277
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3.0,AS6,Z,8.7,6.6,7.7,37,181
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4.0,AS6,Z,10.1,7.7,9.0,31,212
PORSCHE,911 GT3,TWO-SEATER,3.8,6.0,AM7,Z,16.0,11.5,14.0,20,329
PORSCHE,MACAN S,SUV - SMALL,3.0,6.0,A7,Z,13.7,10.3,12.2,23,285
FORD,MUSTANG,SUBCOMPACT,5.0,8.0,M6,X,15.5,9.4,12.7,22,298
JEEP,GRAND CHEROKEE 4X4,SUV - STANDARD,3.6,6.0,A8,X,12.8,9.5,11.3,25,265
MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4.0,AS6,X,7.9,5.7,6.9,41,162
PORSCHE,911 CARRERA GTS,MINICOMPACT,3.8,6.0,AM7,Z,12.7,9.0,11.0,26,259
LAND ROVER,LR4,SUV - STANDARD,3.0,6.0,AS8,Z,16.2,12.1,14.3,20,336
HONDA,CR-V,SUV - SMALL,2.4,4.0,AV,X,8.8,6.9,7.9,36,186
FIAT,500X,SUV - SMALL,2.4,4.0,A9,X,10.6,7.6,9.3,30,217
FORD,FIESTA,SUBCOMPACT,1.6,4.0,AS6,X,8.7,6.4,7.6,37,180
MERCEDES-BENZ,AMG E 63 S 4MATIC,MID-SIZE,5.5,8.0,AS7,Z,15.3,10.8,13.3,21,310
FIAT,500L,STATION WAGON - SMALL,1.4,4.0,A6,X,10.6,7.8,9.4,30,218
TOYOTA,HIGHLANDER HYBRID AWD,SUV - STANDARD,3.5,6.0,AV6,X,8.6,8.4,8.5,33,198
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,,AS7,Z,9.8,7.4,8.7,32,203
MERCEDES-BENZ,AMG GT S,TWO-SEATER,4.0,8.0,AM7,Z,14.5,10.8,12.8,22,303
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4.0,AS6,X,9.0,6.8,8.0,35,188
DODGE,DURANGO AWD,SUV - STANDARD,3.6,6.0,A8,X,12.8,9.5,11.3,25,265
BUICK,ENCLAVE,SUV - STANDARD,3.6,6.0,A6,X,15.8,10.6,13.4,21,315
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,21.6,15.1,18.7,15,306
HONDA,CIVIC COUPE,COMPACT,2.0,4.0,AV,X,7.8,5.8,6.9,41,162
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6.0,AS6,X,13.9,9.6,12.0,24,280
JEEP,CHEROKEE FFV,SUV - SMALL,2.4,4.0,A9,X,10.9,7.7,9.5,30,223
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,E,18.7,12.4,15.9,18,264
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,3.2,6.0,A9,X,12.5,8.9,10.9,26,256
AUDI,Q5 QUATTRO,SUV - SMALL,3.0,6.0,AS8,Z,13.2,9.2,11.4,25,267
KIA,OPTIMA,FULL-SIZE,2.4,4.0,AS6,,9.4,6.5,8.1,35,193
PORSCHE,911 TARGA 4S,MINICOMPACT,3.8,6.0,M7,Z,13.1,9.2,11.4,25,267
HYUNDAI,ACCENT,COMPACT,1.6,4.0,AS6,X,8.9,6.3,7.7,37,179
MERCEDES-BENZ,E 300 4MATIC,MID SIZE,3.5,6.0,AS7,,119.0,8.2,10.2,28,240
TOYOTA,COROLLA LE ECO (1-mode),MID-SIZE,1.8,,AV,X,7.7,5.6,6.8,42,160
BMW,X4 xDRIVE28i,SUV - SMALL,2.0,4.0,AS8,Z,11.7,8.4,10.2,28,238
RAM,1500 HFE,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,12.9,9.3,11.3,25,264
VOLVO,S60 CC T5 AWD,COMPACT,2.5,5.0,AS6,X,11.8,8.6,10.3,27,239
MAZDA,CX-5 4WD,SUV - SMALL,2.5,4.0,AS6,X,9.8,7.9,9.0,31,210
LINCOLN,MKZ HYBRID,MID-SIZE,2.0,4.0,AV,X,5.7,6.0,5.8,49,136
PORSCHE,911 TARGA 4,MINICOMPACT,3.4,,AM7,Z,12.3,8.9,10.8,26,253
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4.0,AS6,Z,10.1,7.7,9.0,31,212
LINCOLN,MKX AWD,SUV - SMALL,2.7,6.0,AS6,X,14.1,9.7,12.1,23,283
FORD,TRANSIT CONNECT WAGON FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.4,8.7,10.7,26,252
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12.0,AM7,Z,22.2,12.7,17.9,16,420
CHEVROLET,SUBURBAN 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.4,10.8,13.3,21,312
TOYOTA,VENZA,SUV - SMALL,2.7,4.0,AS6,X,11.6,9.0,10.4,27,244
HONDA,PILOT,SUV - SMALL,3.5,6.0,A6,X,12.4,8.8,10.8,26,253
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6.0,AS6,X,14.4,10.4,12.6,22,295
HONDA,ACCORD SEDAN,MID-SIZE,3.5,6.0,A6,X,11.3,7.0,9.4,30,219
JEEP,PATRIOT,SUV - SMALL,2.4,4.0,A6,X,11.2,8.6,10.0,28,235
TOYOTA,VENZA,SUV - SMALL,3.5,6.0,AS6,,12.5,9.0,10.9,26,256
TOYOTA,4RUNNER 4WD (Part-Time 4WD),SUV - STANDARD,4.0,6.0,AS5,,14.2,11.1,12.8,22,298
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4.0,AV6,X,9.7,8.1,9.0,31,207
LAND ROVER,RANGE ROVER TD6 DIESEL,SUV - STANDARD,3.0,6.0,AS8,D,10.6,8.1,9.4,30,254
MERCEDES-BENZ,AMG CLS 63 S 4MATIC,COMPACT,5.5,8.0,AS7,Z,15.1,10.8,13.1,22,308
BMW,435i xDRIVE GRAN COUPE,COMPACT,3.0,6.0,AS8,Z,12.0,7.9,10.2,28,238
PORSCHE,PANAMERA,FULL-SIZE,3.6,6.0,AM7,Z,12.9,8.4,10.9,26,255
BMW,M5,MID-SIZE,4.4,8.0,M6,Z,16.1,10.9,13.7,21,321
PORSCHE,PANAMERA TURBO EXECUTIVE,FULL-SIZE,4.8,8.0,AM7,,15.4,9.8,12.9,22,303
JEEP,RENEGADE 4X4,SUV - SMALL,1.4,4.0,M6,,9.9,7.5,8.8,32,203
HYUNDAI,SONATA HYBRID,MID-SIZE,2.0,4.0,AM6,X,5.9,5.3,5.6,50,133
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6.0,AS6,X,12.3,9.2,10.9,26,256
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4.0,M6,,12.2,9.1,10.8,26,253
FIAT,500 CABRIO,MINICOMPACT,1.4,4.0,M5,X,7.9,6.3,7.2,39,168
NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6.0,AV,X,12.7,9.0,11.0,26,258
KIA,SEDONA SX,MINIVAN,3.3,6.0,AS6,X,12.9,9.5,11.4,25,269
SCION,tC,COMPACT,2.5,4.0,M6,X,10.2,7.7,9.0,31,210
HONDA,ODYSSEY,MINIVAN,3.5,6.0,A6,X,12.3,8.5,10.6,27,250
PORSCHE,CAYMAN S,TWO-SEATER,3.4,6.0,M6,Z,11.9,8.6,10.4,27,245
GMC,YUKON XL FFV,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,13.0,22,304
CHEVROLET,MALIBU,MID-SIZE,1.5,4.0,A6,X,8.7,6.3,7.6,37,179
HYUNDAI,VELOSTER,COMPACT,1.6,4.0,AM6,X,8.3,6.5,7.5,38,177
FORD,FIESTA,SUBCOMPACT,1.6,4.0,M5,X,8.5,6.5,7.6,37,179
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8.0,AS7,Z,17.4,12.2,15.1,19,354
CHEVROLET,IMPALA,FULL-SIZE,2.5,4.0,AS6,X,10.6,7.5,9.2,31,215
LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2.0,4.0,AS9,Z,11.3,7.9,9.7,29,229
FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,11.9,8.6,10.4,27,243
BMW,528i xDRIVE,MID-SIZE,2.0,4.0,AS8,,10.5,6.9,8.9,32,209
HONDA,HR-V,SUV - SMALL,1.8,4.0,AV7,X,8.3,6.7,7.6,37,177
VOLVO,V60 3.0T AWD,STATION WAGON - SMALL,3.0,6.0,AS6,X,13.0,9.0,11.2,25,259
HONDA,FIT,STATION WAGON - SMALL,1.5,,AV7,X,7.3,6.1,6.8,42,158
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.0,4.0,M6,X,8.0,5.8,7.0,40,165
CHEVROLET,CRUZE LIMITED,MID-SIZE,1.4,4.0,M6,X,9.0,6.2,7.8,36,182
FORD,EDGE (Start/Stop),SUV - SMALL,2.0,4.0,AS6,X,11.3,7.9,9.8,29,228
INFINITI,Q50S RED SPORT,MID-SIZE,3.0,6.0,AS7,,11.8,8.8,10.5,27,247
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4.0,AV6,,9.1,7.0,8.1,35,191
VOLVO,S60 INSCRIPTION,COMPACT,2.0,4.0,AS8,X,9.6,6.7,8.3,34,193
CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4.0,A6,,15.6,10.8,13.4,21,221
ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12.0,AM7,Z,19.5,12.8,16.5,17,390
BUICK,REGAL AWD,MID-SIZE,2.0,4.0,AS6,Z,12.4,8.7,10.7,26,252
CHRYSLER,300 FFV,FULL-SIZE,3.6,6.0,A8,X,12.4,7.7,10.3,27,240
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6.0,AM7,Z,11.6,8.4,10.1,28,238
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,16.8,12.4,14.8,19,347
PORSCHE,BOXSTER SPYDER,TWO-SEATER,3.8,6.0,M6,Z,13.1,9.9,11.6,24,272
HYUNDAI,SANTA FE ULTIMATE AWD,SUV - SMALL,3.3,6.0,AS6,X,13.9,10.8,12.5,23,295
DODGE,DART FFV,MID-SIZE,2.0,4.0,A6,E,13.3,9.3,11.5,25,187
PORSCHE,CAYMAN,TWO-SEATER,2.7,6.0,M6,Z,11.5,7.9,9.9,29,232
VOLKSWAGEN,GOLF SPORTWAGON,STATION WAGON - SMALL,1.8,4.0,M5,X,9.5,6.6,8.2,34,192
MERCEDES-BENZ,AMG CLA 45,COMPACT,2.0,4.0,AS7,,10.2,7.7,9.1,31,214
BMW,435i COUPE,COMPACT,3.0,6.0,M6,Z,12.1,8.4,10.5,27,246
CHEVROLET,CRUZE,COMPACT,1.4,4.0,AS6,X,7.8,5.6,6.8,42,159
DODGE,JOURNEY,SUV - SMALL,2.4,4.0,A4,X,12.7,9.1,11.1,25,260
FORD,MUSTANG,SUBCOMPACT,3.7,6.0,M6,X,13.6,8.4,11.2,25,264
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12.0,AS8,Z,20.7,12.9,17.2,16,404
JEEP,PATRIOT 4X4 TRAIL RATED,SUV - SMALL,2.4,4.0,AV,X,11.7,10.3,11.1,25,259
BMW,M235i,SUBCOMPACT,3.0,6.0,AS8,Z,11.6,7.7,9.9,29,232
BUICK,ENCORE SPORT TOURING AWD,SUV - SMALL,1.4,4.0,AS6,X,8.9,7.4,8.2,34,192
VOLVO,XC60 T6,SUV - SMALL,2.0,4.0,AS8,Z,11.0,8.1,9.7,29,226
BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.4,8.0,AS8,Z,14.3,9.3,12.1,23,283
AUDI,A8 QUATTRO TDI (modified),MID-SIZE,3.0,6.0,AS8,D,9.8,6.5,8.4,34,224
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6.0,AS8,Z,11.9,8.1,10.2,28,238
FORD,EDGE AWD,SUV - SMALL,2.0,4.0,AS6,X,11.8,8.4,10.3,27,240
LINCOLN,MKS AWD,FULL-SIZE,3.7,6.0,AS6,X,14.2,9.8,12.2,23,287
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8.0,AS6,Z,18.2,11.6,15.2,19,360
FORD,ESCAPE,SUV - SMALL,1.6,,AS6,X,10.1,7.4,8.9,32,208
FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,11.9,8.6,10.4,27,243
MITSUBISHI,MIRAGE,COMPACT,1.2,,AV,X,6.4,5.3,5.9,48,139
INFINITI,QX50 AWD,STATION WAGON - SMALL,3.7,6.0,AS7,Z,13.7,9.7,11.9,24,279
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4.0,M5,X,8.5,6.9,7.8,36,183
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8.0,A6,,15.4,10.8,13.3,21,312
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,14.2,10.7,12.6,22,296
GMC,TERRAIN FFV,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31,214
KIA,FORTE 5,FULL-SIZE,1.6,4.0,M6,X,11.1,8.2,9.8,29,227
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,E,20.5,14.5,17.8,16,296
FORD,FOCUS,COMPACT,1.0,3.0,AS6,X,8.5,5.9,7.3,39,171
TOYOTA,SIENNA,MINIVAN,3.5,6.0,AS6,,13.0,9.5,11.4,25,267
BUICK,LACROSSE AWD FFV,MID-SIZE,3.6,6.0,AS6,E,18.5,12.5,15.8,18,263
GMC,CANYON,PICKUP TRUCK - SMALL,2.8,4.0,A6,,10.8,7.7,9.4,30,252
SUBARU,FORESTER AWD,SUV - SMALL,2.0,4.0,AV8,Z,10.2,8.5,9.4,30,222
TOYOTA,4RUNNER 4WD,SUV - STANDARD,4.0,6.0,AS5,X,14.2,11.1,12.8,22,298
VOLKSWAGEN,BEETLE,COMPACT,1.8,4.0,AS6,X,9.6,7.0,8.4,34,196
BMW,428i CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.8,6.7,8.9,32,211
MITSUBISHI,LANCER,COMPACT,2.4,4.0,AV6,X,9.8,7.6,8.8,32,204
CHRYSLER,300 AWD,FULL-SIZE,3.6,6.0,A8,X,12.8,8.6,10.9,26,257
KIA,RONDO,STATION WAGON - MID-SIZE,2.0,4.0,M6,X,10.4,7.8,9.3,30,220
BMW,320i,COMPACT,2.0,4.0,AS8,Z,9.9,6.5,8.4,34,197
KIA,OPTIMA,FULL-SIZE,1.6,4.0,AM7,X,8.4,6.1,7.4,38,175
JEEP,GRAND CHEROKEE 4X4 DIESEL,SUV - STANDARD,3.0,6.0,A8,D,11.2,8.4,9.9,29,267
MERCEDES-BENZ,GLE 450 AMG SPORT 4MATIC COUPE,SUV - STANDARD,3.0,6.0,A9,Z,13.6,10.2,12.0,24,281
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12.0,AS8,Z,20.3,11.9,16.5,17,388
VOLKSWAGEN,JETTA HYBRID,COMPACT,1.4,4.0,AM7,Z,5.7,4.9,5.3,53,124
MERCEDES-BENZ,CLS 550 4MATIC,COMPACT,4.7,8.0,AS7,Z,13.7,9.3,11.7,24,277
NISSAN,MICRA,COMPACT,1.6,4.0,A4,X,8.8,6.6,7.8,36,184
BMW,M5,MID-SIZE,4.4,8.0,AM7,Z,17.3,11.5,14.7,19,344
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6.0,A6,X,14.2,9.4,12.1,23,283
ACURA,MDX SH-AWD,SUV - SMALL,3.5,6.0,AS9,Z,12.7,9.1,11.1,25,254
MERCEDES-BENZ,E 550 CABRIOLET,SUBCOMPACT,4.7,8.0,AS7,Z,13.7,9.2,11.7,24,275
HYUNDAI,SANTA FE SPORT AWD,SUV - SMALL,2.4,,AS6,X,12.5,9.3,11.1,25,257
JEEP,COMPASS,SUV - SMALL,2.0,4.0,AV,X,10.8,8.9,10.0,28,234
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8.0,M6,Z,18.1,11.4,15.1,19,353
JAGUAR,XJ R-SPORT 3.0 AWD,FULL-SIZE,3.0,6.0,AS8,Z,14.0,8.9,11.7,24,275
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12.0,AS8,Z,19.2,12.4,16.1,18,373
FORD,FOCUS FFV,COMPACT,2.0,4.0,AS6,,9.0,6.2,7.8,36,183
BUICK,VERANO,COMPACT,2.4,4.0,AS6,,11.3,7.4,9.6,29,224
FORD,FUSION (Start/Stop),MID-SIZE,1.5,4.0,AS6,X,9.4,6.3,8.0,35,188
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4.0,A5,X,13.6,10.4,12.1,23,285
TOYOTA,YARIS (SIL),COMPACT,1.5,4.0,M6,X,7.6,5.7,6.7,42,157
MINI,COOPER S CONVERTIBLE,MINICOMPACT,2.0,4.0,M6,Z,10.0,7.0,8.7,32,203
JEEP,COMPASS,SUV - SMALL,2.4,4.0,A6,X,11.2,8.6,10.0,28,235
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,23.0,16.0,19.8,14,465
AUDI,Q5 QUATTRO TDI (modified),SUV - SMALL,3.0,6.0,AS8,D,10.2,7.8,9.0,31,244
KIA,FORTE KOUP,COMPACT,1.6,4.0,AS6,X,10.6,7.8,9.4,30,218
FORD,MUSTANG,SUBCOMPACT,2.3,4.0,M6,,10.6,7.6,9.2,31,217
LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,,AS6,X,16.2,11.9,14.3,20,334
DODGE,CHARGER (MDS),FULL-SIZE,5.7,,A5,X,15.7,9.6,12.9,22,302
FORD,EXPLORER AWD,SUV - STANDARD,3.5,6.0,AS6,X,14.9,10.7,13.0,22,305
HYUNDAI,ELANTRA,MID-SIZE,1.8,4.0,AS6,X,8.5,6.3,7.5,38,176
DODGE,DART TURBO AERO,MID-SIZE,1.4,4.0,M6,X,8.5,5.8,7.3,39,171
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6.0,AS6,X,13.6,9.8,12.4,23,291
PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6.0,AM7,Z,11.9,8.7,10.5,27,245
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4.0,M6,,10.7,7.0,9.0,31,211
AUDI,A8L QUATTRO,FULL-SIZE,4.0,8.0,AS8,Z,13.1,8.3,10.9,26,255
INFINITI,Q50 AWD,MID-SIZE,3.0,6.0,AS7,Z,12.3,8.5,10.6,27,249
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.0,4.0,M6,X,8.2,5.9,7.1,40,167
SUBARU,LEGACY AWD,MID-SIZE,2.5,,AV6,X,9.0,6.5,7.9,36,185
SCION,tC,COMPACT,2.5,4.0,AS6,X,10.2,7.6,9.0,31,211
LINCOLN,MKZ AWD,MID-SIZE,2.0,4.0,AS6,X,10.8,7.5,9.3,30,220
FORD,FOCUS FFV,COMPACT,2.0,4.0,AM6,E,11.9,8.3,10.3,27,170
BMW,X5 xDRIVE35d,SUV - STANDARD,3.0,6.0,AS8,D,10.0,7.6,8.9,32,233
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2.0,4.0,AV6,X,9.2,7.1,8.3,34,191
HYUNDAI,ELANTRA,MID-SIZE,2.0,4.0,AS6,X,9.7,6.7,8.3,34,194
VOLVO,V60 POLESTAR,STATION WAGON - SMALL,3.0,6.0,AS6,X,13.0,9.0,11.2,25,259
JAGUAR,F-TYPE S COUPE AWD,TWO-SEATER,3.0,6.0,AS8,Z,13.0,9.1,11.3,25,264
SUBARU,XV CROSSTREK HYBRID AWD,SUV - SMALL,2.0,4.0,AV6,X,7.9,6.9,7.5,38,175
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,,A6,X,13.6,9.9,11.9,24,279
FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,1.6,4.0,AS6,X,10.8,8.0,9.5,30,223
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8.0,AM7,Z,17.3,11.5,14.7,19,344
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6.0,AS6,X,13.5,9.8,11.9,24,278
CADILLAC,ATS,COMPACT,2.5,4.0,AS8,X,10.6,7.3,9.1,31,214
HYUNDAI,GENESIS COUPE,SUBCOMPACT,3.8,6.0,AS8,Z,14.4,9.5,12.2,23,284
LEXUS,NX 200t AWD,SUV - SMALL,2.0,4.0,AS6,Z,10.6,8.4,9.6,29,225
CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8.0,A6,E,20.5,14.0,17.6,16,288
FORD,FOCUS,COMPACT,1.0,3.0,M6,X,7.8,5.7,6.8,42,160
TOYOTA,HIGHLANDER HYBRID AWD LE,SUV - STANDARD,3.5,6.0,AV6,X,8.4,8.3,8.4,34,195
BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6.0,AM7,Z,14.2,9.6,12.1,23,282
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6.0,AS8,Z,12.7,8.8,10.9,26,257
AUDI,S5 CABRIOLET QUATTRO,SUBCOMPACT,3.0,6.0,AM7,Z,13.3,9.1,11.4,25,266
TOYOTA,HIGHLANDER,SUV - SMALL,3.5,6.0,AS6,X,12.5,9.3,11.1,25,260
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6.0,A5,X,14.1,11.1,12.8,22,299
MERCEDES-BENZ,AMG S 65 COUPE,COMPACT,6.0,12.0,AS7,Z,18.0,11.3,15.0,19,355
CHEVROLET,TAHOE FFV,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,13.0,22,304
MERCEDES-BENZ,C 450 AMG SPORT 4MATIC,COMPACT,3.0,6.0,AS7,Z,11.1,9.6,10.4,27,231
HONDA,CIVIC SEDAN,MID-SIZE,1.5,4.0,AV,X,7.6,5.5,6.7,42,157
FIAT,500 CABRIO,MINICOMPACT,1.4,4.0,A6,,8.7,6.9,7.9,36,183
CHEVROLET,SONIC,COMPACT,1.8,4.0,AS6,X,9.6,6.7,8.3,34,195
CADILLAC,CT6 AWD,FULL-SIZE,3.6,6.0,AS8,,12.8,8.7,11.0,26,257
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4.0,M5,X,10.6,8.6,9.7,29,228
DODGE,CHALLENGER,MID-SIZE,3.6,6.0,A8,,12.4,7.8,10.3,27,242
LEXUS,GS 350 F SPORT,MID-SIZE,3.5,6.0,AS8,,12.5,8.6,10.7,26,251
PORSCHE,BOXSTER GTS,TWO-SEATER,3.4,6.0,M6,Z,12.1,8.9,10.7,26,250
CHEVROLET,MALIBU HYBRID,MID-SIZE,1.8,4.0,AV,X,5.0,5.1,5.1,55,122
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,,22.0,14.9,18.8,15,441
KIA,SPORTAGE,SUV - SMALL,2.4,4.0,AS6,X,11.4,8.3,10.0,28,231
DODGE,DART,MID-SIZE,2.4,4.0,M6,,10.5,6.7,8.8,32,205
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,,AS8,Z,19.2,12.4,16.1,18,373
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,3.6,6.0,A6,,13.6,9.9,11.9,24,279
LAND ROVER,RANGE ROVER SPORT SUPERCHARGED,SUV - STANDARD,5.0,8.0,AS8,Z,16.6,12.3,14.7,19,344
MERCEDES-BENZ,GLE 400 4MATIC,SUV - STANDARD,3.0,6.0,AS7,Z,13.3,10.4,12.0,24,282
KIA,SOUL,STATION WAGON - SMALL,1.6,4.0,M6,X,9.9,7.8,9.0,31,208
